"primary_type","community_area","count"
"CRIMINAL DAMAGE","12","2358"
"MOTOR VEHICLE THEFT","4","2202"
"CRIMINAL TRESPASS","74","423"
"BURGLARY","39","2212"
"NARCOTICS","33","3355"
"CRIMINAL SEXUAL ASSAULT","68","150"
"LIQUOR LAW VIOLATION","23","296"
"ASSAULT","37","1650"
"STALKING","2","63"
"OFFENSE INVOLVING CHILDREN","55","201"
"STALKING","71","131"
"ASSAULT","0831","8"
"NARCOTICS","77","3028"
"CRIMINAL TRESPASS","9","188"
"CRIMINAL SEXUAL ASSAULT","45","21"
"BURGLARY","34","1236"
"KIDNAPPING","2","96"
"INTIMIDATION","61","84"
"SEX OFFENSE","52","154"
"BATTERY","0334","27"
"BATTERY","1512","25"
"BATTERY","0311","22"
"ASSAULT","0225","6"
"OBSCENITY","14","5"
"STALKING","4","39"
"OBSCENITY","8","18"
"ASSAULT","0731","6"
"ASSAULT","0633","1"
"KIDNAPPING","52","75"
"LIQUOR LAW VIOLATION","22","439"
"HUMAN TRAFFICKING","11","2"
"ASSAULT","1913","2"
"ASSAULT","1032","4"
"PROSTITUTION","31","587"
"CRIM SEXUAL ASSAULT","54","142"
"GAMBLING","70","55"
"PUBLIC PEACE VIOLATION","017","308"
"LIQUOR LAW VIOLATION","","1954"
"CRIMINAL TRESPASS","011","322"
"PUBLIC PEACE VIOLATION","004","539"
"NARCOTICS","005","517"
"CRIM SEXUAL ASSAULT","74","45"
"PROSTITUTION","66","561"
"CRIMINAL TRESPASS","009","238"
"CRIM SEXUAL ASSAULT","72","60"
"PROSTITUTION","13","48"
"THEFT","0","18"
"GAMBLING","32","20"
"OTHER OFFENSE","003","121"
"CRIM SEXUAL ASSAULT","005","21"
"ARSON","012","13"
"OBSCENITY","77","6"
"CRIM SEXUAL ASSAULT","004","35"
"OTHER NARCOTIC VIOLATION","14","6"
"NON - CRIMINAL","66","5"
"NON-CRIMINAL","22","3"
"ASSAULT","0235","2"
"ASSAULT","1912","3"
"PUBLIC INDECENCY","001","1"
"ASSAULT","0221","2"
"PUBLIC INDECENCY","64","2"
"CRIMINAL SEXUAL ASSAULT","010","1"
"CRIMINAL DAMAGE","43","27553"
"THEFT","25","57546"
"ASSAULT","25","26890"
"THEFT","30","18981"
"BATTERY","0412","26"
"OTHER OFFENSE","19","9701"
"THEFT","64","5415"
"OFFENSE INVOLVING CHILDREN","7","206"
"WEAPONS VIOLATION","44","2412"
"OTHER OFFENSE","25","26918"
"CRIMINAL TRESPASS","68","3874"
"ARSON","25","803"
"ROBBERY","26","6269"
"CRIMINAL DAMAGE","58","9607"
"OTHER OFFENSE","53","8143"
"CRIMINAL TRESPASS","46","2953"
"LIQUOR LAW VIOLATION","53","94"
"MOTOR VEHICLE THEFT","22","8529"
"ASSAULT","20","2568"
"CRIMINAL DAMAGE","63","9151"
"CRIMINAL TRESPASS","38","2976"
"CRIMINAL TRESPASS","42","4759"
"GAMBLING","13","29"
"ROBBERY","17","736"
"WEAPONS VIOLATION","28","1301"
"CRIMINAL TRESPASS","66","3547"
"MOTOR VEHICLE THEFT","65","2710"
"STALKING","30","73"
"OFFENSE INVOLVING CHILDREN","15","738"
"OFFENSE INVOLVING CHILDREN","51","558"
"PUBLIC PEACE VIOLATION","31","936"
"ASSAULT","2423","1"
"STALKING","28","143"
"CRIMINAL TRESPASS","72","710"
"WEAPONS VIOLATION","64","181"
"BATTERY","1523","25"
"STALKING","75","39"
"THEFT","001","1886"
"STALKING","23","102"
"LIQUOR LAW VIOLATION","15","308"
"BATTERY","1614","8"
"INTERFERENCE WITH PUBLIC OFFICER","32","229"
"ASSAULT","0421","10"
"ARSON","45","55"
"PUBLIC PEACE VIOLATION","72","121"
"ASSAULT","1225","5"
"CONCEALED CARRY LICENSE VIOLATION","44","30"
"BATTERY","1431","3"
"BATTERY","1733","6"
"ASSAULT","0131","7"
"INTERFERENCE WITH PUBLIC OFFICER","39","30"
"INTIMIDATION","31","57"
"CRIMINAL SEXUAL ASSAULT","004","2"
"BATTERY","2532","13"
"ASSAULT","0914","4"
"INTIMIDATION","11","20"
"ASSAULT","1523","1"
"ARSON","41","28"
"BURGLARY","","32225"
"OFFENSE INVOLVING CHILDREN","","2484"
"ASSAULT","012","2037"
"CRIM SEXUAL ASSAULT","66","674"
"NARCOTICS","017","697"
"CRIM SEXUAL ASSAULT","46","523"
"CRIMINAL TRESPASS","006","424"
"BURGLARY","019","53"
"LIQUOR LAW VIOLATION","5","110"
"CRIMINAL TRESPASS","018","248"
"OFFENSE INVOLVING CHILDREN","024","25"
"INTIMIDATION","017","14"
"DECEPTIVE PRACTICE","025","43"
"PROSTITUTION","34","44"
"INTIMIDATION","011","13"
"KIDNAPPING","002","6"
"PROSTITUTION","74","3"
"STALKING","014","3"
"NON - CRIMINAL","49","1"
"OTHER NARCOTIC VIOLATION","26","1"
"OBSCENITY","18","3"
"PUBLIC INDECENCY","30","4"
"INTIMIDATION","47","4"
"KIDNAPPING","014","3"
"CONCEALED CARRY LICENSE VIOLATION","2","4"
"OTHER NARCOTIC VIOLATION","015","1"
"NON-CRIMINAL","10","4"
"NON-CRIMINAL","23","1"
"PUBLIC INDECENCY","5","1"
"PUBLIC INDECENCY","71","3"
"OTHER NARCOTIC VIOLATION","022","1"
"RITUALISM","26","1"
"CRIMINAL DAMAGE","17","7357"
"BURGLARY","54","1388"
"BATTERY","60","7090"
"OFFENSE INVOLVING CHILDREN","4","272"
"THEFT","63","10686"
"OFFENSE INVOLVING CHILDREN","17","331"
"OTHER OFFENSE","65","3126"
"MOTOR VEHICLE THEFT","51","1842"
"MOTOR VEHICLE THEFT","15","4801"
"BURGLARY","23","8928"
"OFFENSE INVOLVING CHILDREN","69","1518"
"WEAPONS VIOLATION","24","1322"
"OTHER OFFENSE","17","4207"
"THEFT","74","3432"
"BATTERY","36","3363"
"ROBBERY","51","1522"
"DECEPTIVE PRACTICE","12","1349"
"CRIMINAL SEXUAL ASSAULT","42","91"
"BURGLARY","14","3970"
"MOTOR VEHICLE THEFT","53","4596"
"ROBBERY","39","1621"
"BATTERY","45","5898"
"BURGLARY","26","3717"
"ROBBERY","75","1644"
"ROBBERY","42","4826"
"OFFENSE INVOLVING CHILDREN","56","406"
"CRIMINAL SEXUAL ASSAULT","52","20"
"WEAPONS VIOLATION","7","195"
"SEX OFFENSE","21","336"
"CRIMINAL TRESPASS","60","1089"
"LIQUOR LAW VIOLATION","30","760"
"STALKING","14","39"
"CRIMINAL TRESPASS","62","518"
"INTIMIDATION","65","29"
"ARSON","3","87"
"CRIMINAL SEXUAL ASSAULT","26","120"
"BATTERY","0832","19"
"MOTOR VEHICLE THEFT","011","1799"
"BATTERY","2535","17"
"BATTERY","1832","22"
"CRIMINAL TRESPASS","37","1076"
"BATTERY","0121","13"
"OFFENSE INVOLVING CHILDREN","34","106"
"BATTERY","0221","20"
"THEFT","019","1481"
"CRIMINAL TRESPASS","59","498"
"CRIMINAL DAMAGE","018","307"
"NARCOTICS","62","1176"
"LIQUOR LAW VIOLATION","20","110"
"OBSCENITY","2","20"
"KIDNAPPING","77","34"
"ASSAULT","1233","5"
"KIDNAPPING","63","61"
"GAMBLING","46","202"
"OTHER NARCOTIC VIOLATION","23","4"
"BATTERY","1722","8"
"OBSCENITY","60","10"
"ASSAULT","0411","5"
"BATTERY","2413","14"
"OBSCENITY","19","9"
"INTIMIDATION","68","87"
"ARSON","11","44"
"ASSAULT","1414","2"
"ASSAULT","1013","2"
"GAMBLING","53","177"
"HOMICIDE","47","30"
"HOMICIDE","76","5"
"OBSCENITY","40","8"
"HUMAN TRAFFICKING","6","1"
"HUMAN TRAFFICKING","19","1"
"ASSAULT","025","1550"
"CRIMINAL TRESPASS","025","296"
"CRIMINAL DAMAGE","010","877"
"BURGLARY","003","212"
"WEAPONS VIOLATION","024","72"
"CRIM SEXUAL ASSAULT","6","561"
"WEAPONS VIOLATION","012","329"
"WEAPONS VIOLATION","022","304"
"GAMBLING","40","263"
"OTHER OFFENSE","010","237"
"ROBBERY","017","31"
"GAMBLING","022","22"
"INTERFERENCE WITH PUBLIC OFFICER","11","48"
"INTERFERENCE WITH PUBLIC OFFICER","010","4"
"INTIMIDATION","003","13"
"OTHER NARCOTIC VIOLATION","019","1"
"PROSTITUTION","12","8"
"NON-CRIMINAL","6","13"
"NON-CRIMINAL","35","2"
"INTERFERENCE WITH PUBLIC OFFICER","001","4"
"PUBLIC INDECENCY","38","3"
"ASSAULT","1034","4"
"NON - CRIMINAL","8","1"
"BATTERY","1811","4"
"RITUALISM","68","1"
"ASSAULT","2513","1"
"NON-CRIMINAL","59","1"
"ASSAULT","0232","1"
"PUBLIC INDECENCY","36","1"
"CRIMINAL DAMAGE","19","16985"
"BATTERY","44","29023"
"THEFT","28","69347"
"ASSAULT","44","10865"
"WEAPONS VIOLATION","30","2439"
"THEFT","22","42366"
"THEFT","2","21979"
"CRIMINAL DAMAGE","25","39959"
"THEFT","23","28620"
"ASSAULT","19","7925"
"THEFT","4","14031"
"CRIMINAL DAMAGE","24","26253"
"BURGLARY","13","2068"
"NARCOTICS","35","12305"
"WEAPONS VIOLATION","23","3678"
"MOTOR VEHICLE THEFT","64","1155"
"DECEPTIVE PRACTICE","21","3106"
"CRIMINAL DAMAGE","52","6595"
"DECEPTIVE PRACTICE","1","5078"
"MOTOR VEHICLE THEFT","23","9486"
"DECEPTIVE PRACTICE","10","2730"
"ROBBERY","57","939"
"ASSAULT","75","3718"
"BURGLARY","15","5816"
"ROBBERY","27","5522"
"SEX OFFENSE","4","281"
"LIQUOR LAW VIOLATION","28","279"
"ROBBERY","49","7950"
"SEX OFFENSE","40","216"
"DECEPTIVE PRACTICE","012","114"
"STALKING","65","29"
"BATTERY","1513","36"
"OTHER OFFENSE","52","2705"
"CRIMINAL TRESPASS","31","1564"
"MOTOR VEHICLE THEFT","002","479"
"CRIMINAL SEXUAL ASSAULT","15","70"
"PROSTITUTION","26","3808"
"PUBLIC PEACE VIOLATION","38","399"
"PUBLIC PEACE VIOLATION","46","836"
"PUBLIC PEACE VIOLATION","76","427"
"CRIMINAL TRESPASS","73","1903"
"WEAPONS VIOLATION","4","172"
"PUBLIC PEACE VIOLATION","16","455"
"SEX OFFENSE","22","643"
"PUBLIC PEACE VIOLATION","42","825"
"ARSON","39","39"
"MOTOR VEHICLE THEFT","014","1373"
"HOMICIDE","1","113"
"LIQUOR LAW VIOLATION","32","266"
"OFFENSE INVOLVING CHILDREN","59","226"
"MOTOR VEHICLE THEFT","020","347"
"BATTERY","1713","12"
"PUBLIC PEACE VIOLATION","26","686"
"BATTERY","1624","15"
"INTERFERENCE WITH PUBLIC OFFICER","45","78"
"ASSAULT","0623","11"
"STALKING","22","96"
"PUBLIC PEACE VIOLATION","18","87"
"STALKING","51","40"
"CONCEALED CARRY LICENSE VIOLATION","25","27"
"INTERFERENCE WITH PUBLIC OFFICER","41","36"
"CRIMINAL SEXUAL ASSAULT","17","25"
"LIQUOR LAW VIOLATION","51","70"
"SEX OFFENSE","55","62"
"PUBLIC PEACE VIOLATION","33","215"
"ASSAULT","2424","1"
"INTIMIDATION","27","71"
"KIDNAPPING","35","50"
"ARSON","32","56"
"STALKING","20","23"
"CONCEALED CARRY LICENSE VIOLATION","19","20"
"ASSAULT","1434","2"
"ASSAULT","0523","4"
"KIDNAPPING","44","140"
"ASSAULT","1531","1"
"CRIMINAL SEXUAL ASSAULT","48","34"
"OBSCENITY","3","10"
"ROBBERY","010","52"
"CRIM SEXUAL ASSAULT","27","410"
"INTIMIDATION","26","40"
"HOMICIDE","6","42"
"ASSAULT","0726","6"
"INTIMIDATION","33","30"
"OTHER OFFENSE","012","304"
"PUBLIC PEACE VIOLATION","9","38"
"NON-CRIMINAL","51","2"
"DECEPTIVE PRACTICE","","17681"
"LIQUOR LAW VIOLATION","012","33"
"CRIM SEXUAL ASSAULT","42","480"
"PROSTITUTION","42","634"
"OTHER OFFENSE","020","118"
"GAMBLING","007","10"
"GAMBLING","012","8"
"SEX OFFENSE","002","93"
"PROSTITUTION","18","16"
"INTIMIDATION","022","15"
"LIQUOR LAW VIOLATION","39","11"
"INTIMIDATION","004","18"
"PUBLIC INDECENCY","4","4"
"KIDNAPPING","64","26"
"OBSCENITY","008","10"
"PUBLIC INDECENCY","28","5"
"CRIM SEXUAL ASSAULT","015","16"
"PROSTITUTION","47","2"
"NON - CRIMINAL","31","1"
"INTERFERENCE WITH PUBLIC OFFICER","012","6"
"CONCEALED CARRY LICENSE VIOLATION","60","2"
"CONCEALED CARRY LICENSE VIOLATION","75","6"
"NON - CRIMINAL","70","3"
"DOMESTIC VIOLENCE","","1"
"KIDNAPPING","011","4"
"NON-CRIMINAL (SUBJECT SPECIFIED)","50","1"
"GAMBLING","76","1"
"ASSAULT","30","7931"
"BURGLARY","11","1813"
"ASSAULT","2","4905"
"ROBBERY","32","4854"
"INTIMIDATION","25","165"
"CRIMINAL TRESPASS","40","2582"
"ASSAULT","38","6873"
"WEAPONS VIOLATION","57","238"
"DECEPTIVE PRACTICE","46","3773"
"OTHER OFFENSE","76","6683"
"ROBBERY","54","1094"
"THEFT","57","5694"
"CRIMINAL TRESPASS","71","5242"
"CRIMINAL TRESPASS","2","1772"
"DECEPTIVE PRACTICE","76","2108"
"CRIMINAL DAMAGE","42","12437"
"MOTOR VEHICLE THEFT","34","1442"
"ASSAULT","6","5001"
"BATTERY","5","3971"
"OFFENSE INVOLVING CHILDREN","25","2920"
"SEX OFFENSE","32","667"
"ASSAULT","0332","3"
"MOTOR VEHICLE THEFT","11","1226"
"BURGLARY","73","4965"
"OBSCENITY","6","14"
"CRIMINAL SEXUAL ASSAULT","32","156"
"BATTERY","0823","29"
"CONCEALED CARRY LICENSE VIOLATION","24","8"
"DECEPTIVE PRACTICE","52","1158"
"ROBBERY","64","428"
"KIDNAPPING","66","169"
"BATTERY","1033","22"
"ASSAULT","002","1996"
"PUBLIC PEACE VIOLATION","7","364"
"PUBLIC PEACE VIOLATION","61","1215"
"BATTERY","0524","20"
"SEX OFFENSE","66","638"
"OFFENSE INVOLVING CHILDREN","21","496"
"BATTERY","0734","18"
"BATTERY","0322","25"
"CRIMINAL SEXUAL ASSAULT","1","144"
"BATTERY","0422","40"
"CRIMINAL TRESPASS","36","578"
"WEAPONS VIOLATION","72","134"
"KIDNAPPING","10","60"
"BATTERY","1223","25"
"HOMICIDE","8","128"
"ASSAULT","0732","4"
"NARCOTICS","9","81"
"LIQUOR LAW VIOLATION","37","13"
"BATTERY","1824","29"
"MOTOR VEHICLE THEFT","47","426"
"BATTERY","0914","10"
"ARSON","52","111"
"ASSAULT","0913","3"
"PROSTITUTION","53","1051"
"CONCEALED CARRY LICENSE VIOLATION","37","2"
"DECEPTIVE PRACTICE","016","63"
"BATTERY","1631","10"
"ASSAULT","0323","10"
"HUMAN TRAFFICKING","71","7"
"THEFT","002","3041"
"GAMBLING","43","503"
"HOMICIDE","53","321"
"HOMICIDE","3","104"
"ASSAULT","0833","1"
"PROSTITUTION","43","1046"
"CRIM SEXUAL ASSAULT","49","783"
"CRIMINAL TRESPASS","004","498"
"BURGLARY","009","152"
"INTIMIDATION","39","18"
"BURGLARY","011","225"
"CRIM SEXUAL ASSAULT","73","325"
"KIDNAPPING","32","38"
"CRIMINAL TRESPASS","019","250"
"GAMBLING","41","31"
"LIQUOR LAW VIOLATION","024","12"
"DECEPTIVE PRACTICE","003","54"
"KIDNAPPING","010","7"
"OFFENSE INVOLVING CHILDREN","018","42"
"OTHER NARCOTIC VIOLATION","6","15"
"PUBLIC INDECENCY","60","1"
"LIQUOR LAW VIOLATION","002","11"
"INTERFERENCE WITH PUBLIC OFFICER","017","5"
"OTHER NARCOTIC VIOLATION","025","2"
"NON-CRIMINAL","19","9"
"CONCEALED CARRY LICENSE VIOLATION","7","5"
"ASSAULT","0334","5"
"OBSCENITY","025","4"
"CONCEALED CARRY LICENSE VIOLATION","20","1"
"CONCEALED CARRY LICENSE VIOLATION","007","2"
"CONCEALED CARRY LICENSE VIOLATION","77","1"
"NON - CRIMINAL","26","1"
"BATTERY","2","13666"
"BATTERY","30","23473"
"BURGLARY","46","8338"
"ASSAULT","40","5546"
"DECEPTIVE PRACTICE","3","7137"
"THEFT","36","2789"
"MOTOR VEHICLE THEFT","50","1176"
"BURGLARY","27","3985"
"BATTERY","1024","33"
"DECEPTIVE PRACTICE","18","921"
"BURGLARY","53","7990"
"SEX OFFENSE","25","1223"
"OTHER OFFENSE","1","7345"
"ROBBERY","66","8283"
"DECEPTIVE PRACTICE","27","3547"
"CRIMINAL SEXUAL ASSAULT","10","23"
"BURGLARY","67","12033"
"ROBBERY","10","286"
"OBSCENITY","5","12"
"CRIMINAL DAMAGE","34","3139"
"CRIMINAL DAMAGE","76","3281"
"OTHER OFFENSE","64","2603"
"ASSAULT","0331","4"
"CRIMINAL TRESPASS","33","7386"
"DECEPTIVE PRACTICE","29","4675"
"ASSAULT","33","2808"
"BATTERY","9","1137"
"WEAPONS VIOLATION","36","220"
"ASSAULT","1031","5"
"DECEPTIVE PRACTICE","51","1986"
"STALKING","46","88"
"ARSON","28","138"
"CRIMINAL DAMAGE","64","5249"
"DECEPTIVE PRACTICE","50","1156"
"PUBLIC PEACE VIOLATION","68","1138"
"ASSAULT","0322","6"
"STALKING","11","40"
"BATTERY","0212","34"
"ARSON","47","28"
"INTIMIDATION","32","129"
"BURGLARY","52","2362"
"STALKING","29","111"
"OFFENSE INVOLVING CHILDREN","64","342"
"ASSAULT","2515","5"
"BATTERY","0933","16"
"BATTERY","2232","24"
"NARCOTICS","6","3826"
"BATTERY","1611","7"
"PUBLIC PEACE VIOLATION","69","924"
"ASSAULT","0312","8"
"NARCOTICS","41","990"
"INTERFERENCE WITH PUBLIC OFFICER","54","97"
"BATTERY","0835","14"
"BATTERY","2213","15"
"ARSON","26","228"
"MOTOR VEHICLE THEFT","009","1014"
"BATTERY","1414","9"
"ASSAULT","1524","2"
"BATTERY","0831","38"
"OFFENSE INVOLVING CHILDREN","10","258"
"BATTERY","1235","9"
"NARCOTICS","74","474"
"ASSAULT","0212","10"
"INTERFERENCE WITH PUBLIC OFFICER","28","300"
"CRIMINAL SEXUAL ASSAULT","54","25"
"LIQUOR LAW VIOLATION","33","68"
"THEFT","004","2254"
"BATTERY","0114","19"
"ASSAULT","2523","3"
"BATTERY","1411","8"
"BATTERY","0821","7"
"INTERFERENCE WITH PUBLIC OFFICER","76","45"
"LIQUOR LAW VIOLATION","36","4"
"ARSON","50","37"
"BATTERY","0313","21"
"CRIMINAL SEXUAL ASSAULT","55","10"
"PUBLIC PEACE VIOLATION","65","307"
"LIQUOR LAW VIOLATION","59","82"
"LIQUOR LAW VIOLATION","70","63"
"CONCEALED CARRY LICENSE VIOLATION","63","7"
"ASSAULT","1723","2"
"LIQUOR LAW VIOLATION","60","108"
"OBSCENITY","62","7"
"ASSAULT","019","569"
"HUMAN TRAFFICKING","40","4"
"PUBLIC INDECENCY","72","1"
"KIDNAPPING","61","103"
"ASSAULT","1033","2"
"PUBLIC PEACE VIOLATION","020","155"
"GAMBLING","67","808"
"CRIMINAL DAMAGE","016","844"
"CRIMINAL DAMAGE","015","534"
"WEAPONS VIOLATION","004","565"
"WEAPONS VIOLATION","002","244"
"PUBLIC PEACE VIOLATION","006","371"
"CRIM SEXUAL ASSAULT","41","193"
"CRIM SEXUAL ASSAULT","14","240"
"ROBBERY","015","63"
"PROSTITUTION","73","114"
"CRIM SEXUAL ASSAULT","011","20"
"PUBLIC INDECENCY","44","7"
"INTIMIDATION","010","7"
"OTHER OFFENSE","017","161"
"STALKING","005","7"
"OBSCENITY","9","2"
"GAMBLING","15","30"
"OFFENSE INVOLVING CHILDREN","001","26"
"INTIMIDATION","001","5"
"ASSAULT","0","3"
"ARSON","003","15"
"ARSON","76","13"
"PUBLIC INDECENCY","19","3"
"ASSAULT","0431","2"
"DECEPTIVE PRACTICE","0511","1"
"NON-CRIMINAL (SUBJECT SPECIFIED)","23","2"
"CONCEALED CARRY LICENSE VIOLATION","012","1"
"DECEPTIVE PRACTICE","1812","1"
"OBSCENITY","022","2"
"INTIMIDATION","018","3"
"PROSTITUTION","005","1"
"NON-CRIMINAL","36","1"
"OTHER NARCOTIC VIOLATION","31","1"
"HUMAN TRAFFICKING","13","1"
"DECEPTIVE PRACTICE","55","722"
"CRIMINAL DAMAGE","51","6427"
"ASSAULT","71","14517"
"CRIMINAL DAMAGE","32","8450"
"OTHER OFFENSE","21","4136"
"THEFT","19","24505"
"MOTOR VEHICLE THEFT","26","4721"
"OTHER OFFENSE","32","6780"
"THEFT","72","6657"
"CRIMINAL DAMAGE","21","8602"
"ROBBERY","21","2702"
"THEFT","59","7249"
"MOTOR VEHICLE THEFT","46","4704"
"WEAPONS VIOLATION","19","1647"
"INTERFERENCE WITH PUBLIC OFFICER","52","70"
"STALKING","3","53"
"SEX OFFENSE","61","615"
"MOTOR VEHICLE THEFT","52","1178"
"NARCOTICS","16","3360"
"OTHER OFFENSE","48","2949"
"CRIMINAL TRESPASS","30","1686"
"NARCOTICS","31","4030"
"SEX OFFENSE","17","219"
"OFFENSE INVOLVING CHILDREN","66","1552"
"SEX OFFENSE","28","689"
"BATTERY","0833","14"
"OFFENSE INVOLVING CHILDREN","28","1021"
"CRIMINAL SEXUAL ASSAULT","39","39"
"CRIMINAL TRESPASS","13","469"
"CRIMINAL SEXUAL ASSAULT","56","38"
"BATTERY","1914","23"
"PUBLIC PEACE VIOLATION","20","386"
"ASSAULT","0123","8"
"ASSAULT","1824","5"
"SEX OFFENSE","39","128"
"CRIMINAL SEXUAL ASSAULT","76","25"
"ARSON","51","88"
"BATTERY","2523","9"
"CONCEALED CARRY LICENSE VIOLATION","22","6"
"ARSON","54","45"
"BATTERY","0433","23"
"ASSAULT","0714","9"
"INTERFERENCE WITH PUBLIC OFFICER","51","130"
"BATTERY","2223","19"
"ASSAULT","1513","6"
"BATTERY","014","1748"
"LIQUOR LAW VIOLATION","72","71"
"KIDNAPPING","28","71"
"BATTERY","1651","7"
"BATTERY","2212","12"
"INTIMIDATION","10","22"
"ASSAULT","0422","5"
"KIDNAPPING","25","308"
"INTIMIDATION","42","69"
"CONCEALED CARRY LICENSE VIOLATION","69","20"
"ASSAULT","1235","3"
"ASSAULT","0114","3"
"KIDNAPPING","54","28"
"KIDNAPPING","17","66"
"BATTERY","1935","4"
"PROSTITUTION","3","796"
"HOMICIDE","34","30"
"ASSAULT","0821","3"
"HOMICIDE","12","4"
"BATTERY","002","4138"
"INTERFERENCE WITH PUBLIC OFFICER","64","30"
"OBSCENITY","31","12"
"CRIM SEXUAL ASSAULT","","2041"
"ASSAULT","024","478"
"PROSTITUTION","46","512"
"ARSON","64","56"
"CRIM SEXUAL ASSAULT","43","1000"
"BURGLARY","005","220"
"CRIMINAL TRESPASS","014","154"
"MOTOR VEHICLE THEFT","false","76"
"OTHER OFFENSE","016","204"
"CRIMINAL DAMAGE","017","652"
"CRIMINAL TRESPASS","024","261"
"INTERFERENCE WITH PUBLIC OFFICER","50","108"
"INTERFERENCE WITH PUBLIC OFFICER","47","24"
"OBSCENITY","16","11"
"ARSON","017","3"
"KIDNAPPING","018","9"
"SEX OFFENSE","001","45"
"OBSCENITY","45","3"
"LIQUOR LAW VIOLATION","57","51"
"SEX OFFENSE","010","81"
"GAMBLING","62","8"
"CRIM SEXUAL ASSAULT","9","19"
"INTIMIDATION","54","12"
"STALKING","12","15"
"NON - CRIMINAL","76","1"
"GAMBLING","025","3"
"NON - CRIMINAL","64","1"
"DECEPTIVE PRACTICE","0813","1"
"NON-CRIMINAL","44","2"
"RITUALISM","44","1"
"THEFT","3","25479"
"CRIMINAL DAMAGE","5","5415"
"OTHER OFFENSE","5","2504"
"CRIMINAL DAMAGE","2","13293"
"ASSAULT","23","13460"
"BATTERY","10","3904"
"CRIMINAL DAMAGE","4","6886"
"WEAPONS VIOLATION","27","2207"
"NARCOTICS","29","45125"
"WEAPONS VIOLATION","60","400"
"NARCOTICS","25","92836"
"OTHER OFFENSE","40","4450"
"BATTERY","51","8387"
"INTIMIDATION","6","78"
"WEAPONS VIOLATION","71","3993"
"BATTERY","21","10193"
"DECEPTIVE PRACTICE","45","1682"
"OTHER OFFENSE","6","6267"
"THEFT","52","4680"
"MOTOR VEHICLE THEFT","2","4322"
"INTERFERENCE WITH PUBLIC OFFICER","24","243"
"PUBLIC PEACE VIOLATION","67","1231"
"BATTERY","0332","25"
"NARCOTICS","66","17899"
"CRIMINAL TRESPASS","18","232"
"ROBBERY","70","2692"
"BURGLARY","63","4524"
"BATTERY","1212","23"
"PUBLIC PEACE VIOLATION","54","125"
"BATTERY","0231","22"
"CRIMINAL SEXUAL ASSAULT","34","16"
"SEX OFFENSE","63","372"
"KIDNAPPING","69","160"
"WEAPONS VIOLATION","2","544"
"CRIMINAL SEXUAL ASSAULT","40","52"
"BATTERY","0531","28"
"BATTERY","1131","31"
"CRIMINAL SEXUAL ASSAULT","5","27"
"CRIMINAL TRESPASS","16","1474"
"ARSON","6","111"
"INTIMIDATION","30","163"
"PROSTITUTION","56","2919"
"PUBLIC PEACE VIOLATION","62","244"
"STALKING","60","32"
"ASSAULT","0632","8"
"BATTERY","0612","36"
"ARSON","7","64"
"LIQUOR LAW VIOLATION","63","157"
"INTIMIDATION","18","14"
"INTIMIDATION","74","19"
"INTIMIDATION","41","16"
"ASSAULT","0223","4"
"ASSAULT","0233","3"
"STALKING","72","22"
"ASSAULT","2032","1"
"BATTERY","015","3155"
"HOMICIDE","70","92"
"ASSAULT","0433","4"
"ARSON","59","79"
"HOMICIDE","37","50"
"ASSAULT","1813","1"
"OBSCENITY","21","10"
"THEFT","020","848"
"OBSCENITY","29","18"
"CRIMINAL DAMAGE","002","559"
"KIDNAPPING","16","75"
"CRIMINAL TRESPASS","017","381"
"NARCOTICS","001","296"
"CRIMINAL DAMAGE","024","374"
"DECEPTIVE PRACTICE","004","59"
"CRIMINAL TRESPASS","015","301"
"BURGLARY","010","200"
"OTHER OFFENSE","024","105"
"KIDNAPPING","31","40"
"OFFENSE INVOLVING CHILDREN","012","60"
"INTIMIDATION","015","7"
"ARSON","022","17"
"INTIMIDATION","005","7"
"WEAPONS VIOLATION","020","68"
"KIDNAPPING","41","28"
"OBSCENITY","38","13"
"INTERFERENCE WITH PUBLIC OFFICER","55","21"
"OBSCENITY","018","1"
"CRIM SEXUAL ASSAULT","008","32"
"OTHER OFFENSE","0","11"
"NON - CRIMINAL","56","1"
"PUBLIC INDECENCY","58","2"
"NON-CRIMINAL (SUBJECT SPECIFIED)","61","1"
"ARSON","12","9"
"ARSON","014","2"
"ARSON","002","12"
"PUBLIC INDECENCY","69","4"
"NON-CRIMINAL","24","4"
"RITUALISM","53","1"
"ASSAULT","1224","1"
"NON-CRIMINAL (SUBJECT SPECIFIED)","65","1"
"RITUALISM","67","1"
"INTERFERENCE WITH PUBLIC OFFICER","014","2"
"CRIMINAL SEXUAL ASSAULT","019","1"
"BURGLARY","58","4778"
"THEFT","60","9586"
"SEX OFFENSE","24","769"
"OTHER OFFENSE","22","8110"
"CRIMINAL DAMAGE","23","20310"
"OTHER OFFENSE","23","11891"
"CRIMINAL DAMAGE","71","22722"
"ASSAULT","28","11527"
"BATTERY","25","86249"
"MOTOR VEHICLE THEFT","44","7268"
"BATTERY","43","49531"
"OTHER OFFENSE","2","6627"
"BATTERY","75","9473"
"MOTOR VEHICLE THEFT","19","8816"
"THEFT","71","29620"
"BURGLARY","24","15239"
"ASSAULT","51","3981"
"CRIMINAL TRESPASS","56","1331"
"ARSON","43","294"
"INTIMIDATION","16","46"
"WEAPONS VIOLATION","58","1064"
"ASSAULT","55","1223"
"NARCOTICS","61","17123"
