"primary_type","community_area","count"
"BATTERY","0324","37"
"STALKING","15","54"
"BATTERY","0913","18"
"CRIMINAL SEXUAL ASSAULT","47","11"
"SEX OFFENSE","35","219"
"KIDNAPPING","51","54"
"LIQUOR LAW VIOLATION","13","53"
"KIDNAPPING","4","47"
"OBSCENITY","71","12"
"LIQUOR LAW VIOLATION","35","34"
"ASSAULT","2433","2"
"ASSAULT","0333","9"
"PUBLIC PEACE VIOLATION","77","456"
"INTIMIDATION","20","18"
"ASSAULT","0931","3"
"OBSCENITY","30","11"
"WEAPONS VIOLATION","006","309"
"KIDNAPPING","015","17"
"PUBLIC INDECENCY","77","2"
"PUBLIC PEACE VIOLATION","007","305"
"OTHER OFFENSE","018","138"
"CRIMINAL DAMAGE","009","690"
"BATTERY","0","13"
"STALKING","011","8"
"GAMBLING","49","357"
"CRIM SEXUAL ASSAULT","025","27"
"LIQUOR LAW VIOLATION","019","27"
"OFFENSE INVOLVING CHILDREN","016","36"
"OFFENSE INVOLVING CHILDREN","003","125"
"WEAPONS VIOLATION","019","86"
"SEX OFFENSE","020","39"
"KIDNAPPING","006","19"
"INTIMIDATION","76","14"
"OFFENSE INVOLVING CHILDREN","010","52"
"LIQUOR LAW VIOLATION","014","16"
"OBSCENITY","13","4"
"INTERFERENCE WITH PUBLIC OFFICER","016","3"
"OTHER NARCOTIC VIOLATION","30","1"
"NON-CRIMINAL","20","2"
"OTHER NARCOTIC VIOLATION","014","1"
"BATTERY","2521","11"
"NON-CRIMINAL","69","2"
"NON - CRIMINAL","11","3"
"PUBLIC INDECENCY","63","1"
"ASSAULT","1432","1"
"THEFT","24","67556"
"CRIMINAL DAMAGE","61","15688"
"CRIMINAL DAMAGE","29","19601"
"OTHER OFFENSE","8","8764"
"BURGLARY","18","1352"
"MOTOR VEHICLE THEFT","14","3523"
"MOTOR VEHICLE THEFT","43","9036"
"HOMICIDE","51","100"
"DECEPTIVE PRACTICE","56","3240"
"ROBBERY","7","3190"
"WEAPONS VIOLATION","63","1142"
"BATTERY","41","5265"
"BURGLARY","56","3676"
"ROBBERY","22","5355"
"PUBLIC PEACE VIOLATION","39","112"
"SEX OFFENSE","20","226"
"NARCOTICS","71","19707"
